,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
564,200 DM or more,30,existing credits paid back duly till now,retraining,4272,less than 100 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,26,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
565,less than 0 DM,24,existing credits paid back duly till now,furniture/equipment,1553,less than 100 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,car or other,23,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
566,less than 0 DM,36,existing credits paid back duly till now,retraining,9857,less than 100 DM,4 to 7 yrs,35 or more,male : married/widowed,none,4 to 7 yrs,car or other,31,none,rent,2-3,unskilled-resident,3 or more,yes (under customer name),no,1
567,200 DM or more,6,all credits at this bank paid back duly,others,362,less than 100 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,52,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
568,200 DM or more,12,all credits at this bank paid back duly,car (used),1935,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,43,none,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,1
569,200 DM or more,48,no credits taken/all credits paid back duly,furniture/equipment,10222,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,37,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
570,0 to 200 DM,12,no credits taken/all credits paid back duly,others,1330,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
571,200 DM or more,36,no credits taken/all credits paid back duly,repairs,9055,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,real estate,35,none,own,1,unskilled-resident,3 or more,yes (under customer name),no,1
572,less than 0 DM,26,no credits taken/all credits paid back duly,car (new),7966,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
573,less than 0 DM,30,critical account/other credits elsewhere,car (used),3496,500 to 1000 DM,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,34,stores,rent,1,skilled employee/official,3 or more,yes (under customer name),no,1
574,less than 0 DM,36,no credits taken/all credits paid back duly,car (new),6948,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,35,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
575,less than 0 DM,48,delay in paying off in the past,retraining,12204,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
576,no checking account,36,no credits taken/all credits paid back duly,car (used),3446,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,3 or more,no,no,0
577,no checking account,12,no credits taken/all credits paid back duly,repairs,684,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,40,none,for free,1,unskilled-resident,3 or more,no,no,0
578,no checking account,33,all credits at this bank paid back duly,car (used),4281,100 to 500 DM,1 to 4 yrs,35 or more,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,23,none,rent,2-3,skilled employee/official,0 to 2,no,no,0
579,no checking account,42,no credits taken/all credits paid back duly,furniture/equipment,7174,1000 DM or more,4 to 7 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,building soc. savings agr./life insurance,30,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
580,no checking account,24,critical account/other credits elsewhere,furniture/equipment,1546,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,guarantor,7 yrs or more,building soc. savings agr./life insurance,24,bank,for free,1,unskilled-resident,0 to 2,no,no,0
581,no checking account,24,no credits taken/all credits paid back duly,car (used),2359,less than 100 DM,unemployed,35 or more,male : divorced/separated,none,less than 1 year,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,0
582,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,3621,less than 100 DM,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,no,no,0
583,no checking account,12,no credits taken/all credits paid back duly,radio/television,741,less than 100 DM,unemployed,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,0
584,no checking account,12,no credits taken/all credits paid back duly,car (used),7865,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,53,none,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
585,no checking account,24,no credits taken/all credits paid back duly,car (new),2910,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,real estate,34,none,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
586,no checking account,18,all credits at this bank paid back duly,others,5302,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,real estate,36,none,own,4-5,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
587,no checking account,36,no credits taken/all credits paid back duly,car (used),3620,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,guarantor,1 to 4 yrs,car or other,37,none,rent,1,skilled employee/official,3 or more,no,no,1
588,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3509,unknown/no savings account,4 to 7 yrs,less than 20,female : non-single or male : single,guarantor,less than 1 year,unknown/no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,1
589,less than 0 DM,12,no credits taken/all credits paid back duly,car (used),3017,unknown/no savings account,less than 1 year,20 to 25,female : non-single or male : single,none,less than 1 year,unknown/no property,34,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,no,no,1
590,no checking account,12,no credits taken/all credits paid back duly,car (used),1657,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,1
591,no checking account,8,all credits at this bank paid back duly,business,1164,unknown/no savings account,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,real estate,51,bank,own,2-3,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
592,no checking account,36,all credits at this bank paid back duly,car (used),6229,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,co-applicant,7 yrs or more,real estate,23,none,for free,2-3,unskilled-resident,0 to 2,yes (under customer name),no,0
593,no checking account,24,critical account/other credits elsewhere,others,1193,unknown/no savings account,unemployed,35 or more,female : non-single or male : single,co-applicant,7 yrs or more,real estate,29,none,for free,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,0
594,no checking account,30,delay in paying off in the past,car (used),4583,unknown/no savings account,1 to 4 yrs,25 to 35,male : divorced/separated,guarantor,1 to 4 yrs,unknown/no property,32,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
595,no checking account,36,all credits at this bank paid back duly,car (used),5371,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,guarantor,1 to 4 yrs,car or other,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
596,no checking account,12,no credits taken/all credits paid back duly,car (used),708,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,guarantor,4 to 7 yrs,car or other,38,none,rent,1,unskilled-resident,3 or more,no,no,1
597,no checking account,21,all credits at this bank paid back duly,others,571,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,65,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
598,no checking account,30,no credits taken/all credits paid back duly,furniture/equipment,2522,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,guarantor,4 to 7 yrs,car or other,39,none,rent,1,skilled employee/official,3 or more,no,no,1
599,no checking account,36,no credits taken/all credits paid back duly,car (used),5179,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,no,no,0
600,no checking account,36,no credits taken/all credits paid back duly,car (new),8229,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,0
601,200 DM or more,24,all credits at this bank paid back duly,car (used),2028,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,30,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
602,no checking account,6,no credits taken/all credits paid back duly,others,1374,1000 DM or more,unemployed,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,75,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
603,no checking account,12,no credits taken/all credits paid back duly,car (used),1289,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,guarantor,less than 1 year,car or other,21,none,rent,1,unskilled-resident,0 to 2,no,no,1
604,no checking account,36,no credits taken/all credits paid back duly,car (used),2712,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,41,bank,rent,1,skilled employee/official,3 or more,no,no,0
605,no checking account,15,all credits at this bank paid back duly,car (used),975,unknown/no savings account,1 to 4 yrs,25 to 35,male : divorced/separated,none,4 to 7 yrs,car or other,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
606,less than 0 DM,6,existing credits paid back duly till now,car (used),1050,unknown/no savings account,unemployed,less than 20,male : married/widowed,none,less than 1 year,car or other,35,stores,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),yes,1
607,no checking account,6,all credits at this bank paid back duly,others,609,unknown/no savings account,4 to 7 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,car or other,37,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
608,no checking account,48,no credits taken/all credits paid back duly,car (new),4788,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,1
609,less than 0 DM,24,no credits taken/all credits paid back duly,car (used),3069,less than 100 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,30,none,own,1,skilled employee/official,0 to 2,no,no,1
610,less than 0 DM,12,no credits taken/all credits paid back duly,others,836,less than 100 DM,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,car or other,23,bank,rent,1,unskilled-resident,0 to 2,no,no,0
611,no checking account,12,no credits taken/all credits paid back duly,car (used),2577,unknown/no savings account,1 to 4 yrs,25 to 35,male : divorced/separated,none,less than 1 year,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,no,1
612,no checking account,12,no credits taken/all credits paid back duly,car (used),1620,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,co-applicant,4 to 7 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,no,no,1
